City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mehamn,NO,71.0357,27.8492,40.95,93,75,4.61,light rain
1,Borba,BR,-4.3878,-59.5939,84.92,57,71,1.03,broken clouds
2,Hithadhoo,MV,-0.6,73.0833,81.82,70,100,15.17,overcast clouds
3,Gizo,SB,-8.103,156.8419,82.76,74,100,4.97,overcast clouds
4,San Cristobal,VE,7.7669,-72.225,82.58,61,18,4.21,few clouds
5,Wajima,JP,37.4,136.9,74.55,71,94,21.68,overcast clouds
6,Port Alfred,ZA,-33.5906,26.891,59.18,89,93,3.0,overcast clouds
7,Erzin,TR,36.9559,36.2,72.93,84,26,2.55,scattered clouds
8,Bay-Khaak,RU,51.1667,94.5,21.72,53,2,3.11,clear sky
9,Ambilobe,MG,-13.2,49.05,66.78,79,24,3.04,few clouds
10,Esperance,AU,-33.8667,121.9,57.04,89,100,11.81,overcast clouds
11,Mataura,NZ,-46.1927,168.8643,50.49,51,100,8.81,overcast clouds
12,Barrow,US,71.2906,-156.7887,26.62,86,100,19.57,overcast clouds
13,Rikitea,PF,-23.1203,-134.9692,70.97,71,90,17.58,overcast clouds
14,Vaini,TO,-21.2,-175.2,78.96,83,75,13.8,broken clouds
15,Trzebnica,PL,51.3108,17.0633,52.32,90,30,13.69,scattered clouds
16,Saldanha,ZA,-33.0117,17.9442,51.85,77,0,8.05,clear sky
17,Hermanus,ZA,-34.4187,19.2345,53.8,77,1,8.79,clear sky
18,Vardo,NO,70.3705,31.1107,39.18,87,100,4.61,overcast clouds
19,Busselton,AU,-33.65,115.3333,47.41,81,0,9.95,clear sky
20,Nacala,MZ,-14.5428,40.6728,71.58,82,0,5.41,clear sky
21,Sitka,US,57.0531,-135.33,55.29,67,40,4.61,scattered clouds
22,Hirara,JP,24.8,125.2833,75.47,88,20,3.44,few clouds
23,Coahuayana,MX,18.7333,-103.6833,79.88,86,100,3.87,overcast clouds
24,Gimli,CA,50.6336,-96.9907,59.02,88,90,3.44,overcast clouds
25,Upington,ZA,-28.4478,21.2561,68.38,30,9,9.22,clear sky
26,Mitsamiouli,KM,-11.3847,43.2844,74.98,72,2,2.13,clear sky
27,Castro,BR,-24.7911,-50.0119,58.01,96,69,4.5,broken clouds
28,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,94,20,7.54,few clouds
29,Yellowknife,CA,62.456,-114.3525,48.72,61,75,10.36,broken clouds
30,Marsa Matruh,EG,31.3525,27.2453,73.6,64,0,9.22,clear sky
31,Gamba,GA,-2.65,10.0,76.24,85,82,5.75,broken clouds
32,Dikson,RU,73.5069,80.5464,31.87,99,100,6.89,snow
33,Bitung,ID,1.4451,125.1824,74.25,79,79,0.74,broken clouds
34,Mahebourg,MU,-20.4081,57.7,70.25,78,40,11.5,scattered clouds
35,Geraldton,AU,-28.7667,114.6,55.81,58,0,9.22,clear sky
36,Punta Arenas,CL,-53.15,-70.9167,44.71,81,75,8.05,broken clouds
37,Vanimo,PG,-2.6741,141.3028,78.21,89,76,6.96,broken clouds
38,Ponta Do Sol,PT,32.6667,-17.1,71.71,72,25,2.57,scattered clouds
39,Rayachoti,IN,14.05,78.75,75.52,72,100,6.51,overcast clouds
40,Sakakah,SA,29.9697,40.2064,80.17,17,0,6.2,clear sky
41,Tazovskiy,RU,67.4667,78.7,37.35,97,100,17.0,light rain
42,Husavik,IS,66.0449,-17.3389,44.24,91,100,8.97,overcast clouds
43,Provideniya,RU,64.3833,-173.3,39.36,81,100,8.99,overcast clouds
44,Linxia,CN,35.6003,103.2064,47.43,65,98,2.44,overcast clouds
45,Wattens,AT,47.2722,11.5993,44.51,91,75,2.3,broken clouds
46,Banamba,ML,13.55,-7.45,81.79,57,29,6.53,scattered clouds
47,Kapaa,US,22.0752,-159.319,84.18,60,0,14.97,clear sky
48,Salalah,OM,17.0151,54.0924,77.09,83,40,2.3,scattered clouds
49,Airai,TL,-8.9266,125.4092,62.71,90,99,1.03,overcast clouds
50,Craigieburn,AU,-37.6,144.95,54.79,89,100,5.37,light rain
51,Sierra Vista,US,31.5545,-110.3037,84.31,27,20,9.22,few clouds
52,Abeokuta,NG,7.15,3.35,73.81,97,63,3.53,broken clouds
53,Andapa,MG,-14.65,49.65,59.61,98,34,2.51,scattered clouds
54,Hobart,AU,-42.8794,147.3294,49.05,71,40,12.66,scattered clouds
55,Ust-Nera,RU,64.5667,143.2,9.18,98,95,4.43,overcast clouds
56,Conde,BR,-7.2597,-34.9075,76.46,78,0,10.36,clear sky
57,East London,ZA,-33.0153,27.9116,63.3,74,100,11.25,overcast clouds
58,Lorengau,PG,-2.0226,147.2712,83.84,71,81,8.41,broken clouds
59,Ushuaia,AR,-54.8,-68.3,47.86,57,75,2.3,broken clouds
60,Cao Bang,VN,22.6667,106.25,70.9,97,76,1.79,broken clouds
61,Belaya Gora,RU,68.5333,146.4167,20.77,89,99,5.93,overcast clouds
62,Mar Del Plata,AR,-38.0023,-57.5575,53.62,79,0,11.5,clear sky
63,Bredasdorp,ZA,-34.5322,20.0403,51.26,85,0,6.82,clear sky
64,Constitucion,CL,-35.3333,-72.4167,53.37,75,8,4.12,clear sky
65,Kodiak,US,57.79,-152.4072,51.31,76,100,11.5,overcast clouds
66,San Rafael,AR,-34.6177,-68.3301,79.16,24,26,19.89,scattered clouds
67,Avarua,CK,-21.2078,-159.775,78.85,73,40,21.85,scattered clouds
68,Ponta Delgada,PT,37.7333,-25.6667,76.5,94,75,9.22,broken clouds
69,Adrar,MR,20.5022,-10.0711,93.27,26,95,6.98,overcast clouds
70,Nikolskoye,RU,59.7035,30.7861,46.29,98,100,6.93,overcast clouds
71,Namibe,AO,-15.1961,12.1522,67.26,85,98,2.37,overcast clouds
72,Hamilton,US,39.1834,-84.5333,70.65,40,0,11.5,clear sky
73,Astaneh-Ye Ashrafiyeh,IR,37.2596,49.9444,68.36,86,6,4.45,clear sky
74,Port Macquarie,AU,-31.4333,152.9167,61.9,68,41,4.92,scattered clouds
75,Georgetown,MY,5.4112,100.3354,78.89,91,20,0.0,few clouds
76,Bluff,NZ,-46.6,168.3333,51.8,68,98,26.31,overcast clouds
77,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,80,100,12.66,overcast clouds
78,New Norfolk,AU,-42.7826,147.0587,48.7,73,77,2.13,broken clouds
79,Chokurdakh,RU,70.6333,147.9167,21.45,92,100,5.21,overcast clouds
80,Mwene-Ditu,CD,-7.0,23.45,66.27,86,99,3.22,overcast clouds
81,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,83,75,2.3,broken clouds
82,Atuona,PF,-9.8,-139.0333,76.77,71,16,18.28,few clouds
83,Elat,IL,29.5581,34.9482,84.04,32,0,10.36,clear sky
84,Khatanga,RU,71.9667,102.5,14.38,89,100,7.74,overcast clouds
85,Hofn,IS,64.2539,-15.2082,48.09,92,100,13.51,overcast clouds
86,Kaitangata,NZ,-46.2817,169.8464,48.9,52,100,8.7,overcast clouds
87,Svetlogorsk,BY,52.6333,29.7333,39.72,97,100,12.26,overcast clouds
88,Te Anau,NZ,-45.4167,167.7167,47.5,70,100,7.85,overcast clouds
89,Talnakh,RU,69.4865,88.3972,34.21,89,100,20.85,overcast clouds
90,Donskoye,RU,45.4552,41.9741,60.93,53,69,4.9,broken clouds
91,Cajamarca,PE,-7.1638,-78.5003,66.27,42,75,6.91,broken clouds
92,Araouane,ML,18.9048,-3.5265,98.04,17,24,10.11,few clouds
93,Puerto Ayora,EC,-0.7393,-90.3518,75.16,89,96,5.99,overcast clouds
94,Vyartsilya,RU,62.1764,30.693,42.62,100,100,13.6,light rain
95,Touros,BR,-5.1989,-35.4608,77.13,74,31,15.52,scattered clouds
96,Jamestown,US,42.097,-79.2353,55.04,53,0,8.05,clear sky
97,Albany,US,42.6001,-73.9662,55.33,63,100,2.53,overcast clouds
98,Jiuquan,CN,39.7432,98.5174,39.16,43,0,4.38,clear sky
99,Hilo,US,19.7297,-155.09,90.28,77,20,10.36,few clouds
100,Tabou,CI,4.423,-7.3528,75.9,92,95,5.75,light rain
101,Verkhnevilyuysk,RU,63.4453,120.3167,26.76,93,100,6.85,overcast clouds
102,Tinskoy,RU,56.1525,96.9161,25.48,99,99,0.98,overcast clouds
103,Roebourne,AU,-20.7833,117.1333,70.2,54,0,10.02,clear sky
104,Kiunga,PG,-6.1219,141.2906,76.73,93,84,2.19,broken clouds
105,Port Blair,IN,11.6667,92.75,80.83,84,97,5.61,overcast clouds
106,Santa Rosa,PH,14.3122,121.1114,79.09,89,98,4.99,overcast clouds
107,Lashio,MM,22.9333,97.75,66.61,99,99,1.61,overcast clouds
108,Qaanaaq,GL,77.484,-69.3632,15.93,72,100,6.55,overcast clouds
109,Taoudenni,ML,22.6783,-3.9836,96.51,18,28,12.06,scattered clouds
110,Saint George,US,37.1041,-113.5841,85.24,27,0,11.5,clear sky
111,Fairbanks,US,64.8378,-147.7164,46.4,81,75,4.61,broken clouds
112,Lata,PT,40.1629,-8.3327,67.91,58,0,1.32,clear sky
113,Goiatuba,BR,-18.0125,-49.3547,79.7,45,8,5.77,clear sky
114,Sur,OM,22.5667,59.5289,78.78,74,0,9.01,clear sky
115,Saskylakh,RU,71.9167,114.0833,13.48,97,99,5.26,overcast clouds
116,Cape Town,ZA,-33.9258,18.4232,58.12,73,0,3.44,clear sky
117,Kirakira,SB,-10.4544,161.9205,81.73,79,46,8.08,scattered clouds
118,Daru,PG,-9.0763,143.2092,82.02,81,20,15.86,few clouds
119,Samarai,PG,-10.6167,150.6667,81.45,81,85,13.85,overcast clouds
120,Port Elizabeth,ZA,-33.918,25.5701,61.09,80,0,18.41,clear sky
121,Oktyabrskiy,RU,54.4815,53.471,49.21,42,5,9.55,clear sky
122,Shubarkuduk,KZ,49.1447,56.4872,44.42,25,0,9.64,clear sky
123,Progreso,MX,21.2833,-89.6667,88.11,68,12,12.84,few clouds
124,Victoria,HK,22.2855,114.1577,83.32,85,10,3.0,clear sky
125,Qasigiannguit,GL,68.8193,-51.1922,18.64,87,24,4.94,few clouds
126,Hay River,CA,60.8156,-115.7999,53.58,54,75,6.91,broken clouds
127,Cherskiy,RU,68.75,161.3,26.28,79,100,6.73,overcast clouds
128,Sidney,AU,-33.8679,151.2073,61.38,72,0,9.22,clear sky
129,Omsukchan,RU,62.5333,155.8,14.0,95,98,6.26,overcast clouds
130,Salihorsk,BY,52.7876,27.5415,41.36,95,100,16.73,overcast clouds
131,Hovd,MN,48.0056,91.6419,23.13,37,0,3.04,clear sky
132,Evensk,RU,61.95,159.2333,32.76,55,100,11.43,overcast clouds
133,Santa Luzia,BR,-19.7697,-43.8514,83.48,43,20,3.44,few clouds
134,Iqaluit,CA,63.7506,-68.5145,35.33,93,100,25.32,overcast clouds
135,Tabas,IR,33.5959,56.9244,73.62,23,0,4.61,clear sky
136,Tautira,PF,-17.7333,-149.15,76.39,81,16,19.6,light rain
137,Katsuura,JP,35.1333,140.3,75.9,74,44,15.9,scattered clouds
138,Baykit,RU,61.67,96.37,24.04,91,57,1.32,broken clouds
139,Awjilah,LY,29.1081,21.2869,73.04,68,0,14.85,clear sky
140,Sangar,RU,63.9242,127.4739,18.12,87,97,3.56,overcast clouds
141,Buzmeyin,TM,38.0507,58.2056,56.93,35,2,4.61,clear sky
142,Thompson,CA,55.7435,-97.8558,57.36,41,40,5.75,scattered clouds
143,Khani,GE,41.9563,42.9566,54.97,89,100,2.46,light rain
144,Sabang,ID,5.8933,95.3214,80.15,82,100,23.78,overcast clouds
145,Neede,NL,52.1342,6.6139,53.33,94,79,4.41,broken clouds
146,Wencheng,CN,33.0559,113.7978,56.79,88,100,19.77,overcast clouds
147,Cidreira,BR,-30.1811,-50.2056,57.72,69,12,14.16,few clouds
148,Ascension,US,30.2169,-90.9001,85.06,38,0,9.22,clear sky
149,Tiksi,RU,71.6872,128.8694,19.9,90,98,10.8,overcast clouds
150,San Carlos De Bariloche,AR,-41.1456,-71.3082,58.75,41,40,23.02,scattered clouds
151,Saint-Joseph,RE,-21.3667,55.6167,68.38,80,38,9.37,scattered clouds
152,Karratha,AU,-20.7377,116.8463,69.76,53,0,9.04,clear sky
153,Bonthe,SL,7.5264,-12.505,76.59,92,99,4.52,overcast clouds
154,Ridgecrest,US,35.6225,-117.6709,94.01,9,0,5.75,clear sky
155,High Level,CA,58.5169,-117.136,60.91,36,75,5.75,broken clouds
156,Meulaboh,ID,4.1363,96.1285,74.41,93,100,3.65,light rain
157,Bouza,NE,14.4229,6.0428,88.72,46,76,10.18,broken clouds
158,Hasaki,JP,35.7333,140.8333,76.21,68,62,16.87,broken clouds
159,Cayenne,GF,4.9333,-52.3333,82.44,74,0,8.05,clear sky
160,Fortuna,US,40.5982,-124.1573,65.93,74,8,1.01,clear sky
161,Anadyr,RU,64.75,177.4833,30.7,100,100,2.24,light snow
162,Kyshtovka,RU,56.555,76.6271,31.39,74,46,6.73,scattered clouds
163,Sunderland,GB,54.9047,-1.3822,56.91,86,100,1.01,overcast clouds
164,Capoterra,IT,39.1763,8.9718,68.54,83,0,6.91,clear sky
165,Paungde,MM,18.4833,95.5,74.52,94,100,1.45,overcast clouds
166,Naze,JP,28.3667,129.4833,77.92,78,17,7.72,few clouds
167,Pevek,RU,69.7008,170.3133,28.99,77,100,8.79,overcast clouds
168,Mountain Home,US,43.133,-115.6912,75.13,24,15,4.7,few clouds
169,Sungaipenuh,ID,-2.0833,101.3833,64.26,95,100,1.61,overcast clouds
170,San Andres,CO,12.5847,-81.7006,86.02,74,40,9.22,scattered clouds
171,Vao,NC,-22.6667,167.4833,69.28,67,24,15.37,few clouds
172,Stara Synyava,UA,49.6032,27.6191,45.72,84,100,19.17,overcast clouds
173,Mahina,PF,-17.5065,-149.489,82.17,65,75,5.75,light rain
174,Harper,LR,4.375,-7.7169,75.79,91,98,6.8,moderate rain
175,Huarmey,PE,-10.0681,-78.1522,66.07,77,11,11.05,few clouds
176,Hobe Sound,US,27.0595,-80.1364,82.98,66,83,12.73,broken clouds
177,Mackay,AU,-21.15,149.2,69.67,67,97,13.91,overcast clouds
178,Liliw,PH,14.1307,121.4366,73.81,94,99,3.51,overcast clouds
179,Clyde River,CA,70.4692,-68.5914,30.43,93,100,2.3,light snow
180,Tasiilaq,GL,65.6145,-37.6368,34.39,99,100,6.04,light snow
181,Torbay,CA,47.6666,-52.7314,46.17,65,20,14.97,few clouds
182,Gat,IL,31.61,34.7642,77.4,100,0,3.69,clear sky
183,Kruisfontein,ZA,-34.0033,24.7314,56.88,76,100,13.56,overcast clouds
184,Mosquera,CO,4.7059,-74.2302,66.29,52,40,11.5,scattered clouds
185,Chuy,UY,-33.6971,-53.4616,53.24,74,33,9.6,scattered clouds
186,Waddan,LY,29.1614,16.139,72.93,62,59,8.97,broken clouds
187,Arlit,NE,18.7369,7.3853,94.35,12,1,8.63,clear sky
188,Darhan,MN,49.4867,105.9228,26.62,51,0,5.82,clear sky
189,Surat Thani,TH,9.1667,99.25,80.19,100,100,1.66,overcast clouds
190,Butaritari,KI,3.0707,172.7902,81.57,73,28,10.71,scattered clouds
191,Flin Flon,CA,54.7682,-101.865,58.84,41,40,4.61,smoke
192,Gorontalo,ID,0.5412,123.0595,74.61,93,96,2.98,overcast clouds
193,Avera,US,33.194,-82.5271,71.65,46,49,9.4,scattered clouds
194,Kholmogory,RU,64.2229,41.656,39.51,90,100,7.94,overcast clouds
195,Kaeo,NZ,-35.1,173.7833,64.33,73,21,5.26,few clouds
196,Upernavik,GL,72.7868,-56.1549,23.22,76,100,8.63,overcast clouds
197,Souillac,MU,-20.5167,57.5167,70.18,78,40,11.5,scattered clouds
198,Sambava,MG,-14.2667,50.1667,66.65,88,15,7.74,few clouds
199,Saint-Philippe,RE,-21.3585,55.7679,69.39,82,42,11.18,scattered clouds
200,Poole,GB,50.7167,-2.0,62.71,89,75,5.75,broken clouds
201,Toyooka,JP,35.5333,134.8333,71.46,89,66,8.08,broken clouds
202,Saint-Augustin,CA,51.226,-58.6502,45.75,55,51,5.26,broken clouds
203,La Ronge,CA,55.1001,-105.2842,59.25,33,20,2.3,smoke
204,Osa,RU,57.2829,55.4567,46.31,64,84,7.31,broken clouds
205,Sola,VU,-13.8833,167.55,80.53,74,23,10.18,few clouds
206,Lompoc,US,34.6391,-120.4579,82.02,64,0,7.0,clear sky
207,Lavrentiya,RU,65.5833,-171.0,38.71,69,2,4.52,clear sky
208,Sassandra,CI,4.95,-6.0833,74.88,94,99,4.99,overcast clouds
209,Sao Filipe,CV,14.8961,-24.4956,79.68,80,100,15.9,light rain
210,Shetpe,KZ,44.1667,52.1167,57.27,22,90,14.88,overcast clouds
211,Tiznit,MA,29.5833,-9.5,78.85,27,0,0.31,clear sky
212,Biak,ID,-0.9131,122.8766,76.17,81,65,0.74,broken clouds
213,Eydhafushi,MV,5.1033,73.0708,82.06,75,100,17.18,overcast clouds
214,Pechora,RU,65.1472,57.2244,39.13,87,100,3.33,overcast clouds
215,Bilma,NE,18.6853,12.9164,89.91,14,0,10.6,clear sky
216,Grindavik,IS,63.8424,-22.4338,46.87,93,100,20.71,overcast clouds
217,Alta Floresta,BR,-9.8756,-56.0861,81.68,54,91,4.47,overcast clouds
218,Ubinskoye,RU,55.3068,79.6802,31.51,79,2,1.48,clear sky
219,Vila Velha,BR,-20.3297,-40.2925,73.94,89,100,15.01,overcast clouds
220,Vila Franca Do Campo,PT,37.7167,-25.4333,76.19,93,47,10.78,light rain
221,Hashtrud,IR,37.4779,47.0508,57.33,28,55,2.33,broken clouds
222,Kushiro,JP,42.975,144.3747,66.15,93,100,21.52,light rain
223,Aklavik,CA,68.2191,-135.0107,29.97,85,82,7.2,broken clouds
224,Suba,PH,10.8438,121.0102,84.31,73,96,6.89,moderate rain
